ticker,market_cap,ret_1y,paid_in_capital,snapshot_at,source
SPGI,119488339968.0,-0.1477378730071277,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
SNOW,117281300480.0,0.44233772491371415,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
MDT,117846974464.0,0.000479375224784917,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
NET,115227394048.0,0.4322386589662708,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
MPC,119319642112.0,1.3292727862989309,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
VLO,118994657280.0,1.5952675280597957,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
BP,114811535360.0,0.37387451993546317,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
CVS,113623719936.0,0.22343532693782042,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
HDB,119015997440.0,-0.346685490861137,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
PH,118992109568.0,0.2589936559060797,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
ACN,110938972160.0,-0.22809451625176203,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
MO,116080590848.0,0.1438080377019666,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
BNS,114655330304.0,0.4789425140303776,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
PDD,112305987584.0,-0.3905924091915258,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
SBUX,109246201856.0,0.16219839526587054,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
SPOT,104734875648.0,-0.3067952647175314,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
PSX,109507379200.0,1.1678847193894653,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
LOW,107997290496.0,-0.25925935712412584,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
SYK,105528614912.0,-0.26247611979274044,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
ADP,107745607680.0,-0.04420710591680799,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
ENB,106431610880.0,0.025060229207612972,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
APP,103489527808.0,-0.5257624273422906,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
EQNR,104535195648.0,0.9161712216769071,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
ING,103704469504.0,0.4955736809343485,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
BNY,104347148288.0,0.4405449977849656,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
CNQ,102332858368.0,0.6175056373544949,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
ASX,108390596608.0,2.6691781677434365,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
SNY,101787918336.0,-0.05884450419886256,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
CM,104294547456.0,0.42898316036358763,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
MCK,101975760896.0,0.25745517558241127,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
AEM,101014732800.0,0.24850196785181522,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
GSK,100580900864.0,0.27855279430357194,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
FCX,102732693504.0,0.6090135664396743,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
IBN,101027078144.0,-0.11211514926224808,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
EQIX,100777345024.0,0.3184149492323536,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
ADBE,98945695744.0,-0.31970483104362524,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
SO,98379038720.0,-0.03764873407017044,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
ABNB,99530153984.0,0.3084068011871923,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
CME,99247472640.0,0.09632826902171532,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
HOOD,107728044032.0,-0.03974995298121131,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
GD,95520210944.0,0.10861040267536692,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
USB,93576568832.0,0.23892118492983383,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
HCA,92599853056.0,0.07043400569219838,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
VRT,96012197888.0,0.73854811226214,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
PWR,95725142016.0,0.6399512503974365,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
CEG,90245636096.0,-0.2259478301030683,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
PNC,93021700096.0,0.17186982476587764,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
TT,94414143488.0,0.06286686320891999,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
MELI,90614956032.0,-0.2711492082707594,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
DUK,91638398976.0,0.004746768775656163,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
ITUB,90379345920.0,0.24565942461765466,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
KKR,91259977728.0,-0.3316795642900652,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
ELV,89122439168.0,0.33601680764646313,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
HWM,91592720384.0,0.20984162782269067,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
CSX,87251566592.0,0.44649552062550746,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
WMB,88129224704.0,0.23514091708749252,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
MNST,87589199872.0,0.39435524713326653,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
MAR,88378916864.0,0.2726881116637254,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
ICE,87280001024.0,-0.07203501553259606,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
LYG,83912499200.0,0.3557599183547757,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
BCS,83283468288.0,0.22832520450195393,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
JCI,86790635520.0,0.32596703650893555,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
UPS,84278419456.0,0.2558507262253402,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
DDOG,82558525440.0,0.6562453971923479,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
MMM,85553192960.0,0.07887764945708131,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
WM,84379877376.0,-0.008201204254139505,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
DASH,83600506880.0,-0.27272043338663665,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
INTU,81023287296.0,-0.5543143260400072,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
BN,83735502848.0,-0.21136616784928075,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
EPD,83982065664.0,0.30666734511444216,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
MRSH,83516743680.0,-0.09237569644878874,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
EMR,83625377792.0,0.15063228136579343,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
BE,78235303936.0,2.1276345688017684,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
SU,81955528704.0,0.7054929019561309,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
AMT,81067728896.0,-0.06522788341125185,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
CMCSA,80696000512.0,-0.19471335794205358,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
HPE,80656760832.0,1.4752148581246396,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
LITE,83502620672.0,4.517157569586745,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
REGN,80785489920.0,0.33258090784753325,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
MCO,81150877696.0,-0.016819031713738775,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
E,78428291072.0,0.6089982642786844,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
MDLZ,77663346688.0,-0.011712947201498847,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
CTAS,79089516544.0,-0.002512176211052042,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
TRV,78136377344.0,0.3730885977884586,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
GM,74345914368.0,0.40571664016788045,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
CP,76901851136.0,0.16450551994014462,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
SPG,77944299520.0,0.18875711055695255,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
SHW,77859823616.0,-0.06640006886285765,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
